name,category,url
Inzora Rooftop Cafe,Restaurant,https://wa.me/250788000001
Kimironko Market Crafts,Market,https://wa.me/250788000002
Kigali Serena Hotel,Hospitality,https://www.serenahotels.com/kigali
Heaven Restaurant,Restaurant,https://www.heavenrwanda.com
Caplaki Craft Village,Artisan Market,https://wa.me/250788000005
Bourbon Coffee Kigali,Cafe,https://www.bourboncoffee.com
Rwanda Eco-Tours,Tourism,https://wa.me/250788000007
Nakumatt Kigali,Retail,https://wa.me/250788000008
Meze Fresh,Restaurant,https://wa.me/250788000009
Kigali Health Institute,Health,https://www.khi.ac.rw
Nyamirambo Women's Center,Community,https://www.nyamirambo-womens-center.org
Repub Lounge,Restaurant,https://wa.me/250788000012
Kigali Public Library,Education,https://wa.me/250788000013
Simba Supermarket,Retail,https://wa.me/250788000014
Volcano Expeditions,Tourism,https://www.volcanoexpeditions.com
